Time,	Acc X,	Acc Y,	Acc Z,	GYR X,	GYR Y,	GYR Z
0.9092379710515484,	-0.1599999964237213,	-0.009999999776482582,	9.539999961853027,	-0.0625,	0.25,	-0.0625
0.9148854118655331,	-0.1599999964237213,	-0.009999999776482582,	9.539999961853027,	0.0,	-0.0625,	-0.0625
0.9205328526795179,	-0.1599999964237213,	-0.03999999910593033,	9.5600004196167,	0.0,	-0.0625,	-0.0625
0.9261802934935026,	-0.18000000715255737,	-0.019999999552965164,	9.550000190734863,	0.0625,	-0.1875,	-0.0625
0.9318277343074874,	-0.18000000715255737,	-0.019999999552965164,	9.550000190734863,	0.0625,	-0.1875,	-0.0625
0.9374751751214722,	-0.1599999964237213,	-0.009999999776482582,	9.529999732971191,	0.0625,	-0.125,	-0.1875
0.943122615935457,	-0.18000000715255737,	0.0,	9.539999961853027,	0.0625,	-0.125,	-0.1875
0.9487700567494417,	-0.17000000178813934,	0.0,	9.550000190734863,	0.0,	0.0,	-0.1875
0.9544174975634265,	-0.17000000178813934,	0.0,	9.550000190734863,	0.0,	0.0,	-0.1875
0.9600649383774112,	-0.1899999976158142,	0.0,	9.539999961853027,	0.0,	0.125,	0.0
0.9657123791913961,	-0.17000000178813934,	0.0,	9.529999732971191,	-0.125,	-0.0625,	-0.0625
0.9713598200053808,	-0.17000000178813934,	0.0,	9.529999732971191,	-0.125,	-0.0625,	-0.0625
0.9770072608193656,	-0.1599999964237213,	0.0,	9.550000190734863,	-0.0625,	0.0625,	-0.125
0.9826547016333503,	-0.18000000715255737,	-0.009999999776482582,	9.550000190734863,	-0.0625,	0.0625,	-0.125
0.9883021424473352,	-0.18000000715255737,	-0.009999999776482582,	9.550000190734863,	0.0625,	0.0625,	-0.125
0.9939495832613199,	-0.17000000178813934,	0.0,	9.539999961853027,	0.0625,	0.0625,	-0.125
0.9995970240753047,	-0.1599999964237213,	0.0,	9.539999961853027,	-0.0625,	0.0,	-0.1875
1.0052444648892895,	-0.1599999964237213,	-0.009999999776482582,	9.550000190734863,	-0.0625,	0.0,	-0.0625
1.0108919057032741,	-0.1599999964237213,	-0.009999999776482582,	9.550000190734863,	-0.0625,	0.0,	-0.0625
1.016539346517259,	-0.18000000715255737,	0.0,	9.520000457763672,	0.0,	0.125,	0.0
1.0221867873312438,	-0.17000000178813934,	-0.019999999552965164,	9.539999961853027,	0.0,	0.125,	0.0
1.0278342281452286,	-0.17000000178813934,	-0.019999999552965164,	9.539999961853027,	-0.125,	-0.0625,	0.0
1.0334816689592132,	-0.17000000178813934,	-0.019999999552965164,	9.520000457763672,	-0.125,	-0.0625,	0.0
1.039129109773198,	-0.1899999976158142,	0.0,	9.539999961853027,	0.0625,	-0.0625,	0.0
1.0447765505871829,	-0.1899999976158142,	0.0,	9.539999961853027,	0.0625,	-0.0625,	0.0
1.0504239914011677,	-0.18000000715255737,	-0.009999999776482582,	9.520000457763672,	0.0,	-0.1875,	-0.125
1.0560714322151523,	-0.18000000715255737,	0.0,	9.569999694824219,	0.0625,	0.0625,	-0.0625
1.0617188730291371,	-0.17000000178813934,	0.0,	9.529999732971191,	0.0625,	0.0625,	-0.0625
1.067366313843122,	-0.17000000178813934,	0.0,	9.529999732971191,	-0.0625,	0.125,	-0.0625
1.0730137546571068,	-0.1599999964237213,	0.0,	9.550000190734863,	-0.0625,	0.125,	-0.0625
1.0786611954710914,	-0.15000000596046448,	0.0,	9.5600004196167,	0.0,	0.125,	-0.0625
1.0843086362850762,	-0.15000000596046448,	0.0,	9.5600004196167,	0.0,	0.125,	-0.0625
1.089956077099061,	-0.17000000178813934,	0.0,	9.550000190734863,	-0.0625,	-0.0625,	-0.0625
1.0956035179130459,	-0.1599999964237213,	-0.009999999776482582,	9.520000457763672,	-0.0625,	0.0,	-0.1875
1.1012509587270305,	-0.18000000715255737,	0.0,	9.550000190734863,	-0.0625,	0.0,	-0.1875
1.1068983995410153,	-0.18000000715255737,	0.0,	9.550000190734863,	0.0,	0.125,	-0.0625
1.1125458403550001,	-0.17000000178813934,	0.0,	9.520000457763672,	0.0,	0.125,	-0.0625
1.118193281168985,	-0.1899999976158142,	-0.019999999552965164,	9.550000190734863,	0.0625,	0.0,	-0.125
1.1238407219829696,	-0.1899999976158142,	-0.019999999552965164,	9.550000190734863,	0.0625,	0.0,	-0.125
1.1294881627969544,	-0.18000000715255737,	0.0,	9.550000190734863,	0.0625,	0.0,	-0.125
1.1351356036109392,	-0.1899999976158142,	0.0,	9.539999961853027,	0.0,	0.0,	-0.125
1.140783044424924,	-0.1599999964237213,	-0.009999999776482582,	9.5600004196167,	0.0,	0.0,	-0.125
1.1464304852389087,	-0.1599999964237213,	-0.009999999776482582,	9.5600004196167,	0.0,	-0.125,	-0.1875
1.1520779260528935,	-0.1899999976158142,	0.0,	9.579999923706055,	0.0,	-0.125,	-0.1875
1.1577253668668783,	-0.17000000178813934,	0.0,	9.550000190734863,	0.0625,	-0.125,	0.0
1.1633728076808632,	-0.17000000178813934,	0.0,	9.550000190734863,	0.0625,	-0.125,	0.0
1.1690202484948478,	-0.17000000178813934,	-0.009999999776482582,	9.539999961853027,	-0.0625,	-0.0625,	-0.1875
1.1746676893088326,	-0.1599999964237213,	-0.009999999776482582,	9.539999961853027,	-0.0625,	-0.125,	0.0625
1.1803151301228174,	-0.1599999964237213,	-0.009999999776482582,	9.539999961853027,	-0.0625,	-0.125,	0.0625
1.1859625709368022,	-0.17000000178813934,	-0.009999999776482582,	9.550000190734863,	-0.125,	0.125,	-0.0625
1.1916100117507868,	-0.1599999964237213,	-0.029999999329447746,	9.550000190734863,	-0.125,	0.125,	-0.0625
1.1972574525647717,	-0.17000000178813934,	0.0,	9.539999961853027,	-0.0625,	-0.0625,	-0.125
1.2029048933787565,	-0.17000000178813934,	0.0,	9.539999961853027,	-0.0625,	-0.0625,	-0.125
1.2085523341927413,	-0.18000000715255737,	0.0,	9.550000190734863,	-0.125,	0.0625,	-0.0625
1.214199775006726,	-0.15000000596046448,	0.0,	9.539999961853027,	-0.125,	0.0625,	-0.0625
1.2198472158207108,	-0.15000000596046448,	0.0,	9.539999961853027,	0.0625,	0.0,	-0.125
1.2254946566346956,	-0.1899999976158142,	-0.009999999776482582,	9.539999961853027,	-0.0625,	0.0,	0.0
1.2311420974486804,	-0.20000000298023224,	0.0,	9.539999961853027,	-0.0625,	0.0,	0.0
1.236789538262665,	-0.17000000178813934,	0.0,	9.529999732971191,	-0.125,	-0.125,	0.0
1.2424369790766499,	-0.17000000178813934,	0.0,	9.529999732971191,	-0.125,	-0.125,	0.0
1.2480844198906347,	-0.17000000178813934,	0.009999999776482582,	9.550000190734863,	-0.125,	-0.1875,	0.0
1.2537318607046195,	-0.17000000178813934,	0.0,	9.5600004196167,	-0.125,	-0.1875,	0.0
